OBJECTID,BLDG_ID,BID,ADDRESS,POINT_X,POINT_Y,NAME,NEIGHBORHOOD,CITY,ZIP,FT_SQFT,STORY_HT,PARCEL_ID,DISTRICT,SHAPE_WKT,LONGITUDE,LATITUDE,LON,LAT,VALID_COORDS,FT_SQFT_MISSING,DIST_FROM_CENTER_KM,SIZE_CATEGORY,IS_HEADQUARTERS,ZONE,FT_SQFT_NORMALIZED
1,Bos_1809107000_B0,100639,1249 HYDE PARK AVE,-71.12426882999995,42.256472889000065,DISTRICT E-18 POLICE STATION,HYDE PARK,BOSTON,2136,8585.0,2.0,1809107000,E18,POINT (-71.124268829999949 42.256472889000065),-71.12426882999995,42.256472889000065,-71.12426882999995,42.256472889000065,1,0,12.71496792131269,Medium,0,Outer,-0.2956400058989192
2,Bos_2005719000_B0,112112,1708 CENTRE ST,-71.14836713799997,42.28677693700007,DISTRICT E-5 POLICE STATION,WEST ROXBURY,BOSTON,2132,7708.0,2.0,2005719000,E5,POINT (-71.148367137999969 42.28677693700007),-71.14836713799997,42.28677693700007,-71.14836713799997,42.28677693700007,1,0,10.980650898408443,Small,0,Outer,-0.3127656909699431
3,Bos_0103711003_B0,222774,300 E EAGLE ST,-71.02813497799997,42.38149651100008,DISTRICT A-7 POLICE STATION,EAST BOSTON,BOSTON,2128,8712.0,3.0,103711003,A7,POINT (-71.028134977999969 42.38149651100008),-71.02813497799997,42.38149651100008,-71.02813497799997,42.38149651100008,1,1,3.47103756044133,Medium,0,Inner,-0.2931600036138336
4,Bos_0302626000_B0,136171,40 SUDBURY ST,-71.06030667599998,42.36181645100004,DISTRICT A-1 POLICE STATION,BOSTON,BOSTON,2114,6882.0,5.0,302626000,A1,POINT (-71.060306675999982 42.361816451000038),-71.06030667599998,42.36181645100004,-71.06030667599998,42.36181645100004,1,0,0.2231276434508628,Small,0,Inner,-0.3288954696115233
5,Bos_2202387000_B0,145004,301 WASHINGTON ST,-71.15057769799995,42.34938584300005,DISTRICT D-14 POLICE STATION,BRIGHTON,BOSTON,2135,8712.0,2.0,2202387000,D14,POINT (-71.15057769799995 42.34938584300005),-71.15057769799995,42.34938584300005,-71.15057769799995,42.34938584300005,1,0,7.626933066208846,Medium,0,Mid,-0.2931600036138336
6,Bos_0202644020_B0,148316,20 VINE ST,-71.05604653999995,42.376457980000055,DISTRICT A-15 POLICE STATION,CHARLESTOWN,BOSTON,2129,8712.0,2.0,202644020,A15,POINT (-71.056046539999954 42.376457980000055),-71.05604653999995,42.376457980000055,-71.05604653999995,42.376457980000055,1,1,1.8339684067651283,Medium,0,Inner,-0.2931600036138336
7,Bos_0600118000_B0,154919,101 W BROADWAY,-71.05493569699996,42.34115537100007,DISTRICT C-6 POLICE STATION,SOUTH BOSTON,BOSTON,2127,8528.0,2.0,600118000,C6,POINT (-71.054935696999962 42.34115537100007),-71.05493569699996,42.34115537100007,-71.05493569699996,42.34115537100007,1,0,2.1315881227997937,Medium,0,Inner,-0.2967530777906505
8,Bos_0801170010_B0,162100,650 HARRISON AVE,-71.06923916399995,42.33943100400006,DISTRICT D-4 POLICE STATION,BOSTON,BOSTON,2118,12382.0,3.0,801170010,D4,POINT (-71.069239163999953 42.339431004000062),-71.06923916399995,42.33943100400006,-71.06923916399995,42.33943100400006,1,0,2.4503136541769526,Large,0,Inner,-0.22149379584797513
9,Bos_0902771010_B0,163892,1 SCHROEDER PLZ,-71.09074691999996,42.33418366300003,BOSTON POLICE HEADQUARTERS,ROXBURY,BOSTON,2120,194000.0,4.0,902771010,,POINT (-71.090746919999958 42.334183663000033),-71.09074691999996,42.33418366300003,-71.09074691999996,42.33418366300003,1,0,3.892874446242638,Large,1,Inner,3.3250656924407673
10,Bos_1201261000_B0,176508,2400 WASHINGTON ST,-71.08568375099998,42.32837672300008,DISTRICT B-2 POLICE STATION,ROXBURY,BOSTON,2119,10809.0,3.0,1201261000,B2,POINT (-71.085683750999976 42.328376723000076),-71.08568375099998,42.32837672300008,-71.08568375099998,42.32837672300008,1,0,4.157938977928099,Medium,0,Inner,-0.2522106745443499
11,Bos_1102261000_B0,180965,3345 WASHINGTON ST,-71.10463861399995,42.30971378300006,DISTRICT E-13 POLICE STATION,JAMAICA PLAIN,BOSTON,2130,8312.0,2.0,1102261000,E13,POINT (-71.104638613999953 42.309713783000063),-71.10463861399995,42.30971378300006,-71.10463861399995,42.30971378300006,1,0,6.747205437230773,Medium,0,Mid,-0.3009710344330008
12,Bos_1404623000_B0,186089,1165 BLUE HILL AVE,-71.09170139399998,42.284720271000026,DISTRICT B-3 POLICE STATION,MATTAPAN,BOSTON,2124,9740.0,1.5,1404623000,B3,POINT (-71.091701393999983 42.284720271000026),-71.09170139399998,42.284720271000026,-71.09170139399998,42.284720271000026,1,0,8.80497926014319,Medium,0,Mid,-0.2730856544085741
13,Bos_1600673000_B0,189445,40 GIBSON ST,-71.05916433299996,42.29805684300004,DISTRICT C-11 POLICE STATION,DORCHESTER,BOSTON,2122,15338.0,2.0,1600673000,C11,POINT (-71.059164332999956 42.29805684300004),-71.05916433299996,42.29805684300004,-71.05916433299996,42.29805684300004,1,0,6.898918512324523,Large,0,Mid,-0.16377027809433
